brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,turbo,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,price,avg_mpg,car_age,reliability_rating
FIAT,124 Spider Lusso,2020,30830,1.4L I4 16V MPFI SOHC Turbo,1.4,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,25,36,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,26500,30.5,5,
Lexus,RX 450h F Sport,2019,58274,3.5L V6 24V PDI DOHC Hybrid,3.5,Automatic CVT,1,Hybrid,Four-wheel Drive,18,25,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,36987,21.5,6,85
Kia,Stinger GT1,2018,69303,3.3L V6 24V GDI DOHC Twin Turbo,3.3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,19,24,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,26997,21.5,7,70
MINI,Convertible Cooper S,2023,5026,2.0L I4 16V GDI DOHC Turbo,2,Automatic,1,Gasoline,Front-wheel Drive,25,35,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,37923,30,2,
Nissan,Murano S,2018,61180,3.5L V6 24V MPFI DOHC,3.5,Automatic CVT,1,Gasoline,Four-wheel Drive,14,19,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,20490,16.5,7,81
Cadillac,CT5 Premium Luxury AWD,2020,16883,3.0L V6 24V GDI DOHC Twin Turbo,3,10-Speed Automatic,1,Gasoline,Four-wheel Drive,16,23,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,44995,19.5,5,
Land,Rover Range Rover Evoque Pure,2013,86610,"2L I-4 gasoline direct injection, DOHC, variable valve control,",2,Automatic,1,Gasoline,Four-wheel Drive,20.92617980490377,27.91642499340891,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,20290,24.42130239915634,12,
Lexus,IS 350 F Sport,2023,2272,3.5L V6 24V PDI DOHC,3.5,Automatic,1,Gasoline,Rear-wheel Drive,20.92617980490377,27.91642499340891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46500,24.42130239915634,2,88
Maserati,Ghibli S,2018,19267,3.0L V6 24V GDI DOHC Twin Turbo,3,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,17,24,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,37699,20.5,7,
Alfa,Romeo Stelvio Ti Sport,2020,24667,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,28,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,34990,25,5,
Mitsubishi,Lancer Evolution GSR,2013,47392,2.0L I4 16V MPFI DOHC Turbo,2,5-Speed Manual,0,Gasoline,Four-wheel Drive,20.92617980490377,27.91642499340891,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,32995,24.42130239915634,12,
Jeep,Grand Cherokee Summit,2020,22025,5.7L V8 16V MPFI OHV,5.7,8-Speed Automatic,1,Gasoline,Four-wheel Drive,17,23,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,42740,20,5,
Audi,A3 Premium Plus,2022,7232,2.0L I4 16V GDI DOHC Turbo,2,7-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,28,36,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,37500,32,3,
Volkswagen,Taos 1.5T SEL,2022,25950,1.5L I4 16V GDI DOHC Turbo,1.5,7-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,20.92617980490377,27.91642499340891,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,31480,24.42130239915634,3,
Porsche,Cayenne GTS,2016,90544,3.6L V6 24V GDI DOHC Twin Turbo,3.6,8-Speed Automatic,1,Gasoline,Four-wheel Drive,18,28,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,37750,23,9,
Chevrolet,Silverado 1500 LTZ,2019,63001,5.3L V8 16V GDI OHV,5.3,Automatic,1,Gasoline,Four-wheel Drive,16,22,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,38995,19,6,
Honda,Passport Elite,2020,44467,3.5L V6 24V GDI SOHC,3.5,9-Speed Automatic,1,Gasoline,Four-wheel Drive,19,24,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,33700,21.5,5,75
BMW,750 Li xDrive,2015,44807,4.4L V8 32V GDI DOHC Twin Turbo,4.4,8-Speed Automatic,1,Gasoline,Four-wheel Drive,16,24,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,26999,20,10,
Nissan,Altima 2.5 SL,2014,127883,2.5L I4 16V MPFI DOHC,2.5,Automatic CVT,1,Gasoline,Front-wheel Drive,21,28,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,12992,24.5,11,81
Ford,Expedition Max Limited,2021,48287,3.5L V6 24V PDI DOHC Twin Turbo,3.5,10-Speed Automatic,1,Gasoline,Four-wheel Drive,16,21,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,51099,18.5,4,
Audi,SQ5 3.0T Premium Plus,2022,9958,3.0L V6 24V GDI DOHC Turbo,3,Automatic,1,Gasoline,Four-wheel Drive,20.92617980490377,27.91642499340891,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,59999,24.42130239915634,3,
Mitsubishi,Outlander Sport SE,2019,86902,2.0L I4 16V MPFI DOHC,2,Automatic CVT with Sportronic,1,Gasoline,Front-wheel Drive,20,28,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,16500,24,6,
Chevrolet,Tahoe LT,2021,35577,5.3L V8 16V GDI OHV,5.3,10-Speed Automatic,1,Gasoline,Four-wheel Drive,16,20,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,58559,18,4,76
Mercedes-Benz,M-Class ML 63 AMG,2015,50282,5.5L V8 32V GDI DOHC Twin Turbo,5.5,7-Speed Automatic,1,Gasoline,Four-wheel Drive,20,25,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,37991,22.5,10,83
